sample_id,sample_number,sample_info_id,site_treatment,date,site,symbiotroph,soil,measurement_date,am_colonization,ecm_colonziation,ap,bg,nag,phenox,perox
Brzostek_110,110,2017_3_AM1_R,ammonium_sulfate,2017,ws3,AM,Rhizosphere,822,,,,,,,
Brzostek_111,111,2017_3_AM2_R,ammonium_sulfate,2017,ws3,AM,Rhizosphere,822,,,,,,,
Brzostek_112,112,2017_3_AM3_R,ammonium_sulfate,2017,ws3,AM,Rhizosphere,822,,,,,,,
Brzostek_113,113,2017_3_AM4_R,ammonium_sulfate,2017,ws3,AM,Rhizosphere,822,,,,,,,
Brzostek_114,114,2017_3_AM5_R,ammonium_sulfate,2017,ws3,AM,Rhizosphere,822,,,,,,,
Brzostek_115,115,2017_3_AM6_R,ammonium_sulfate,2017,ws3,AM,Rhizosphere,822,,,,,,,
Brzostek_116,116,2017_7_ECM1_R,recovery,2017,ws7,ECM,Rhizosphere,822,,,,,,,
Brzostek_117,117,2017_7_ECM2_R,recovery,2017,ws7,ECM,Rhizosphere,822,,,,,,,
Brzostek_118,118,2017_7_ECM3_R,recovery,2017,ws7,ECM,Rhizosphere,822,,,,,,,
Brzostek_119,119,2017_7_ECM4_R,recovery,2017,ws7,ECM,Rhizosphere,822,,,,,,,
Brzostek_120,120,2017_7_ECM5_R,recovery,2017,ws7,ECM,Rhizosphere,822,,,,,,,
Brzostek_121,121,2017_7_ECM6_R,recovery,2017,ws7,ECM,Rhizosphere,822,,,,,,,
Brzostek_122,122,2017_3_AM1_B,ammonium_sulfate,2017,ws3,AM,Bulk,822,,,,,,,
Brzostek_123,123,2017_3_AM2_B,ammonium_sulfate,2017,ws3,AM,Bulk,822,,,,,,,
Brzostek_124,124,2017_3_AM3_B,ammonium_sulfate,2017,ws3,AM,Bulk,822,,,,,,,
Brzostek_125,125,2017_3_AM4_B,ammonium_sulfate,2017,ws3,AM,Bulk,822,,,,,,,
Brzostek_126,126,2017_3_AM5_B,ammonium_sulfate,2017,ws3,AM,Bulk,822,,,,,,,
Brzostek_127,127,2017_3_AM6_B,ammonium_sulfate,2017,ws3,AM,Bulk,822,,,,,,,
Brzostek_128,128,2017_7_ECM1_B,recovery,2017,ws7,ECM,Bulk,822,,,,,,,
Brzostek_130,130,2017_7_ECM3_B,recovery,2017,ws7,ECM,Bulk,822,,,,,,,
Brzostek_131,131,2017_7_ECM4_B,recovery,2017,ws7,ECM,Bulk,822,,,,,,,
Brzostek_132,132,2017_7_ECM5_B,recovery,2017,ws7,ECM,Bulk,822,,,,,,,
Brzostek_133,133,2017_7_ECM6_B,recovery,2017,ws7,ECM,Bulk,822,,,,,,,
Brzostek_135,135,2022_3_AM1_R,ammonium_sulfate,2022,ws3,AM,Rhizosphere,822,,,,,,,
Brzostek_136,136,2022_3_AM1_B,ammonium_sulfate,2022,ws3,AM,Bulk,822,,48.14814815,,,,,
Brzostek_138,138,2022_3_AM2_R,ammonium_sulfate,2022,ws3,AM,Rhizosphere,822,,,,,,,
Brzostek_139,139,2022_3_AM2_B,ammonium_sulfate,2022,ws3,AM,Bulk,822,,59.67741935,,,,,
Brzostek_141,141,2022_3_AM3_R,ammonium_sulfate,2022,ws3,AM,Rhizosphere,822,,,,,,,
Brzostek_142,142,2022_3_AM3_B,ammonium_sulfate,2022,ws3,AM,Bulk,822,,,,,,,
Brzostek_144,144,2022_3_AM4_R,ammonium_sulfate,2022,ws3,AM,Rhizosphere,822,,,,,,,
Brzostek_145,145,2022_3_AM4_B,ammonium_sulfate,2022,ws3,AM,Bulk,822,,36.26373626,,,,,
Brzostek_147,147,2022_3_AM5_R,ammonium_sulfate,2022,ws3,AM,Rhizosphere,822,,,,,,,
Brzostek_148,148,2022_3_AM5_B,ammonium_sulfate,2022,ws3,AM,Bulk,822,,26.12612613,,,,,
Brzostek_150,150,2022_3_AM6_R,ammonium_sulfate,2022,ws3,AM,Rhizosphere,822,,,,,,,
Brzostek_151,151,2022_3_AM6_B,ammonium_sulfate,2022,ws3,AM,Bulk,822,,34.7826087,,,,,
Brzostek_153,153,2022_3_ECM1_R,ammonium_sulfate,2022,ws3,ECM,Rhizosphere,822,,,,,,,
Brzostek_154,154,2022_3_ECM1_B,ammonium_sulfate,2022,ws3,ECM,Bulk,822,,54.83870968,,,,,
Brzostek_156,156,2022_3_ECM2_R,ammonium_sulfate,2022,ws3,ECM,Rhizosphere,822,,,,,,,
Brzostek_157,157,2022_3_ECM2_B,ammonium_sulfate,2022,ws3,ECM,Bulk,822,,,,,,,
Brzostek_160,160,2022_3_ECM3_R,ammonium_sulfate,2022,ws3,ECM,Rhizosphere,822,,,,,,,
Brzostek_161,161,2022_3_ECM3_B,ammonium_sulfate,2022,ws3,ECM,Bulk,822,,30,,,,,
Brzostek_163,163,2022_3_ECM4_R,ammonium_sulfate,2022,ws3,ECM,Rhizosphere,822,,,,,,,
