sample_id,unique_sample_id,sample_label,Crop,treatment_2,date,watershed,AM_vs_ECM,soil_type,mycorrhizal_colonization_617_622,extra_mycol_722,extra_mycol_822,AP_617_622,BG_617_622,NAG_617_622,Phenox_617_622,Perox_617_622,AP_517_722,BG_517_722,NAG_517_722,Phenox_517_722,Perox_517_722
Brzostek_110,110,2017 3 AM1 R,,n fertilized,2017,3_ammonium_sulfate,AM,Rhizosphere,,,,0.311570336,0.035775079,0.008769167,0.638245229,3.051197252,0.280303873,0.038767794,0.007869762,0.407830065,4.335713231
Brzostek_111,111,2017 3 AM2 R,,n fertilized,2017,3_ammonium_sulfate,AM,Rhizosphere,,,,0.186660523,0.018878636,0.004020721,0.28605172,2.115477571,0.499025529,0.086730151,0.01209878,0.558038257,5.299458354
Brzostek_112,112,2017 3 AM3 R,,n fertilized,2017,3_ammonium_sulfate,AM,Rhizosphere,,,,0.421010787,0.045927208,0.012733002,0.334913386,2.532799877,0.613317915,0.08629977,0.021441116,0.389689517,5.218578984
Brzostek_113,113,2017 3 AM4 R,,n fertilized,2017,3_ammonium_sulfate,AM,Rhizosphere,,,,0.389166624,0.039169366,0.006561031,0.30970303,2.654152249,0.377883107,0.063155928,0.014096089,0.446628283,4.726163755
Brzostek_114,114,2017 3 AM5 R,,n fertilized,2017,3_ammonium_sulfate,AM,Rhizosphere,,,,0.391002388,0.018122832,0.012910948,0.353690808,2.933492727,0.307486032,0.041847163,0.012009201,0.582386284,2.279761797
Brzostek_115,115,2017 3 AM6 R,,n fertilized,2017,3_ammonium_sulfate,AM,Rhizosphere,,,,0.332510395,0.068425602,0.020123932,0.192547534,2.182205354,0.505282697,0.124435649,0.046127353,0.256978978,4.240153141
Brzostek_116,116,2017 7 ECM1 R,,reference,2017,7_ecosystem_recovery,ECM,Rhizosphere,,,,0.518392763,0.069260627,0.015000042,0.688067323,5.08445839,0.398229971,0.104923925,0.029214701,0.628126754,5.876481277
Brzostek_117,117,2017 7 ECM2 R,,reference,2017,7_ecosystem_recovery,ECM,Rhizosphere,,,,0.344330832,0.04000169,0.004498008,0.465673958,4.736439639,0.290307622,0.080993001,0.023937133,0.410537149,5.084940398
Brzostek_118,118,2017 7 ECM3 R,,reference,2017,7_ecosystem_recovery,ECM,Rhizosphere,,,,0.449612072,0.036380544,0.009391075,0.832671916,5.403776276,0.32189527,0.034709477,0.030251027,0.740193144,8.65532565
Brzostek_119,119,2017 7 ECM4 R,,reference,2017,7_ecosystem_recovery,ECM,Rhizosphere,,,,0.873648535,0.117427247,0.072119304,0.633585016,2.892013374,0.846916865,0.288962466,0.528425644,0.339498588,4.618595233
Brzostek_120,120,2017 7 ECM5 R,,reference,2017,7_ecosystem_recovery,ECM,Rhizosphere,,,,0.787124021,0.091201564,0.024722611,0.672716618,4.072852018,0.536521463,0.104682787,0.041155205,0.419357255,4.089313629
Brzostek_121,121,2017 7 ECM6 R,,reference,2017,7_ecosystem_recovery,ECM,Rhizosphere,,,,0.658916768,,0.082222685,0.408197091,3.069317975,0.730795077,0.215041069,0.185311018,0.674658244,4.940838723
Brzostek_122,122,2017 3 AM1 B,,n fertilized,2017,3_ammonium_sulfate,AM,Bulk,34.28571429,,,0.293444169,0.026274822,0.006323922,0.619645613,4.946616654,0.283194248,0.058094416,0.016744113,0.439082269,4.423033519
Brzostek_123,123,2017 3 AM2 B,,n fertilized,2017,3_ammonium_sulfate,AM,Bulk,32.78688525,,,0.331862347,0.0287184,0.008348438,0.41607522,2.576607763,0.403589213,0.06719046,0.022725199,0.407854044,5.322662657
Brzostek_124,124,2017 3 AM3 B,,n fertilized,2017,3_ammonium_sulfate,AM,Bulk,50.84745763,,,0.585284263,0.069699363,0.013267126,0.349503131,3.056830915,0.465472423,0.073766697,0.023898101,0.475760309,4.993641416
Brzostek_125,125,2017 3 AM4 B,,n fertilized,2017,3_ammonium_sulfate,AM,Bulk,31.25,,,0.468430824,0.055772072,0.0147619,0.357567853,2.944306735,0.357287683,0.072228042,0.024056198,0.402300738,4.453223712
