"sample_id","sample_number","sample_info_id","site_treatment","date","site","symbiotroph","soil","measurement_date","am_colonization","ecm_colonziation","ap","bg","nag","phenox","perox"
"Brzostek_110","110","2017_3_AM1_R","ammonium_sulfate","2017","ws3","AM","Rhizosphere","617_622",NA,NA,0.311570336,0.035775079,0.008769167,0.638245229,3.051197252
"Brzostek_111","111","2017_3_AM2_R","ammonium_sulfate","2017","ws3","AM","Rhizosphere","617_622",NA,NA,0.186660523,0.018878636,0.004020721,0.28605172,2.115477571
"Brzostek_112","112","2017_3_AM3_R","ammonium_sulfate","2017","ws3","AM","Rhizosphere","617_622",NA,NA,0.421010787,0.045927208,0.012733002,0.334913386,2.532799877
"Brzostek_113","113","2017_3_AM4_R","ammonium_sulfate","2017","ws3","AM","Rhizosphere","617_622",NA,NA,0.389166624,0.039169366,0.006561031,0.30970303,2.654152249
"Brzostek_114","114","2017_3_AM5_R","ammonium_sulfate","2017","ws3","AM","Rhizosphere","617_622",NA,NA,0.391002388,0.018122832,0.012910948,0.353690808,2.933492727
"Brzostek_115","115","2017_3_AM6_R","ammonium_sulfate","2017","ws3","AM","Rhizosphere","617_622",NA,NA,0.332510395,0.068425602,0.020123932,0.192547534,2.182205354
"Brzostek_116","116","2017_7_ECM1_R","recovery","2017","ws7","ECM","Rhizosphere","617_622",NA,NA,0.518392763,0.069260627,0.015000042,0.688067323,5.08445839
"Brzostek_117","117","2017_7_ECM2_R","recovery","2017","ws7","ECM","Rhizosphere","617_622",NA,NA,0.344330832,0.04000169,0.004498008,0.465673958,4.736439639
"Brzostek_118","118","2017_7_ECM3_R","recovery","2017","ws7","ECM","Rhizosphere","617_622",NA,NA,0.449612072,0.036380544,0.009391075,0.832671916,5.403776276
"Brzostek_119","119","2017_7_ECM4_R","recovery","2017","ws7","ECM","Rhizosphere","617_622",NA,NA,0.873648535,0.117427247,0.072119304,0.633585016,2.892013374
"Brzostek_120","120","2017_7_ECM5_R","recovery","2017","ws7","ECM","Rhizosphere","617_622",NA,NA,0.787124021,0.091201564,0.024722611,0.672716618,4.072852018
"Brzostek_121","121","2017_7_ECM6_R","recovery","2017","ws7","ECM","Rhizosphere","617_622",NA,NA,0.658916768,NA,0.082222685,0.408197091,3.069317975
"Brzostek_122","122","2017_3_AM1_B","ammonium_sulfate","2017","ws3","AM","Bulk","617_622",34.28571429,NA,0.293444169,0.026274822,0.006323922,0.619645613,4.946616654
"Brzostek_123","123","2017_3_AM2_B","ammonium_sulfate","2017","ws3","AM","Bulk","617_622",32.78688525,NA,0.331862347,0.0287184,0.008348438,0.41607522,2.576607763
"Brzostek_124","124","2017_3_AM3_B","ammonium_sulfate","2017","ws3","AM","Bulk","617_622",50.84745763,NA,0.585284263,0.069699363,0.013267126,0.349503131,3.056830915
"Brzostek_125","125","2017_3_AM4_B","ammonium_sulfate","2017","ws3","AM","Bulk","617_622",31.25,NA,0.468430824,0.055772072,0.0147619,0.357567853,2.944306735
"Brzostek_126","126","2017_3_AM5_B","ammonium_sulfate","2017","ws3","AM","Bulk","617_622",25.53191489,NA,0.452597914,0.037476788,0.008257896,0.318593017,2.543985208
"Brzostek_127","127","2017_3_AM6_B","ammonium_sulfate","2017","ws3","AM","Bulk","617_622",20.83333333,NA,0.453776788,0.059109622,0.016701323,0.204678502,2.085771409
"Brzostek_128","128","2017_7_ECM1_B","recovery","2017","ws7","ECM","Bulk","617_622",50.98039216,NA,0.309744791,0.050283974,0.010657277,0.418231404,3.561542969
"Brzostek_130","130","2017_7_ECM3_B","recovery","2017","ws7","ECM","Bulk","617_622",66.66666667,NA,0.404052275,0.049631209,0.012245763,0.615026262,0.036910676
"Brzostek_131","131","2017_7_ECM4_B","recovery","2017","ws7","ECM","Bulk","617_622",72.58064516,NA,0.539470418,0.060391938,0.042695127,0.41349526,0.039435956
"Brzostek_132","132","2017_7_ECM5_B","recovery","2017","ws7","ECM","Bulk","617_622",67.79661017,NA,0.241631422,0.066158097,0.015559426,0.552105599,0.075724225
"Brzostek_133","133","2017_7_ECM6_B","recovery","2017","ws7","ECM","Bulk","617_622",75.36231884,NA,0.507691167,0.090843477,0.078681945,0.374485537,0.172477655
"Brzostek_135","135","2022_3_AM1_R","ammonium_sulfate","2022","ws3","AM","Rhizosphere","617_622",NA,NA,0.452266653,0.24,0.006192321,NA,NA
"Brzostek_136","136","2022_3_AM1_B","ammonium_sulfate","2022","ws3","AM","Bulk","617_622",57.8125,NA,0.42103608,0.25,0.005014105,NA,NA
"Brzostek_138","138","2022_3_AM2_R","ammonium_sulfate","2022","ws3","AM","Rhizosphere","617_622",NA,NA,0.463931952,0.18,0.003860673,NA,NA
"Brzostek_139","139","2022_3_AM2_B","ammonium_sulfate","2022","ws3","AM","Bulk","617_622",43.79562044,NA,0.48999159,0.25,0.003682039,NA,NA
